[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][4,(0, 1),0,E,1,97,1]
[3][6,(0, 2),1,E,2,96,2]
[6][8,(0, 3),3,E,3,95,3]
[8][9,(1, 3),6,S,4,94,4]
[11][11,(1, 4),8,E,5,93,5]
[13][12,(2, 4),11,S,6,92,6]
[18][14,(2, 3),13,O,7,93,7]
[21][18,(2, 2),18,O,8,94,8]
[28][19,(2, 1),21,O,9,95,9]
[36][23,(3, 1),28,S,10,94,10]
[42][26,(4, 1),36,S,11,93,11]
[47][29,(4, 2),42,E,12,92,12]
[54][32,(5, 2),47,S,13,91,13]
[62][34,(5, 1),54,O,14,92,14]
[65][38,(6, 1),62,S,15,91,15]
[76][42,(7, 1),65,S,16,90,16]
[88][45,(8, 1),76,S,17,89,17]
[103][47,(9, 1),88,S,18,88,18]
[116][51,(10, 1),103,S,19,87,19]
[127][54,(11, 1),116,S,20,86,20]
[139][57,(12, 1),127,S,21,85,21]
[149][59,(13, 1),139,S,22,84,22]
[160][63,(13, 0),149,O,23,85,23]
[170][64,(14, 0),160,S,24,84,24]
[178][68,(15, 0),170,S,25,83,25]
[184][70,(16, 0),178,S,26,82,26]
[192][72,(16, 1),184,E,27,81,27]
[198][76,(16, 2),192,E,28,80,28]
[204][80,(17, 2),198,S,29,79,29]
[212][84,(18, 2),204,S,30,78,30]
[217][85,(18, 3),212,E,31,77,31]
[220][89,(18, 4),217,E,32,76,32]
[226][92,(17, 4),220,N,33,77,33]
[234][94,(16, 4),226,N,34,78,34]
[244][96,(16, 5),234,E,35,77,35]
[255][98,(16, 6),244,E,36,76,36]
[264][101,(17, 6),255,S,37,75,37]
[275][102,(17, 7),264,E,38,74,38]
[287][103,(18, 7),275,S,39,73,39]
[303][106,(19, 7),287,S,40,72,40]
[316][107,(19, 8),303,E,41,71,41]
[326][108,(19, 9),316,E,42,70,42]
[338][112,(20, 9),326,S,43,69,43]
[356][116,(21, 9),338,S,44,68,44]
[372][118,(21, 10),356,E,45,67,45]
[390][121,(21, 11),372,E,46,66,46]
[405][125,(21, 12),390,E,47,65,47]
[421][128,(21, 13),405,E,48,64,48]
[437][129,(21, 14),421,E,49,63,49]
[452][131,(21, 15),437,E,50,62,50]
[468][134,(22, 15),452,S,51,61,51]
[486][136,(22, 14),468,O,52,62,52]
[498][137,(23, 14),486,S,53,61,53]
[520][138,(24, 14),498,S,54,60,54]
[546][141,(24, 15),520,E,55,59,55]
[573][144,(24, 16),546,E,56,58,56]
[592][146,(25, 16),573,S,57,57,57]
[609][148,(25, 17),592,E,58,56,58]
[632][150,(26, 17),609,S,59,55,59]
[658][153,(26, 16),632,O,60,56,60]
[679][156,(27, 16),658,S,61,55,61]
[700][159,(28, 16),679,S,62,54,62]
[719][162,(28, 17),700,E,63,53,63]
[737][164,(29, 17),719,S,64,52,64]
[754][167,(29, 18),737,E,65,51,65]
[768][171,(28, 18),754,N,66,52,66]
[781][175,(28, 19),768,E,67,51,67]
[794][176,(27, 19),781,N,68,52,68]
[805][177,(27, 20),794,E,69,51,69]
[816][180,(27, 21),805,E,70,50,70]
[829][184,(26, 21),816,N,71,51,71]
[845][185,(26, 20),829,O,72,52,72]
[857][187,(25, 20),845,N,73,53,73]
